add 533 user word
+++++++++++++++++++++++++++++
stop words size is: 1226
The current weibo list size is: 5478
The K hours weibo list size is: 6031
add 533 user word
获取特征词用时：2
团日		IDF：115.491		出现次数：17		词频：20
粉丝		IDF：115.491		出现次数：17		词频：20
项目		IDF：114.81		出现次数：13		词频：19
恭喜		IDF：114.341		出现次数：18		词频：20
爱心		IDF：114.341		出现次数：18		词频：20
国家		IDF：113.48		出现次数：10		词频：18
信息		IDF：113.259		出现次数：19		词频：20
游戏		IDF：113.259		出现次数：19		词频：20
以为		IDF：112.189		出现次数：20		词频：20
招聘		IDF：109.716		出现次数：17		词频：19
认识		IDF：109.716		出现次数：17		词频：19
通知		IDF：109.716		出现次数：17		词频：19
救命		IDF：108.767		出现次数：13		词频：18
电脑		IDF：108.624		出现次数：18		词频：19
日子		IDF：108.624		出现次数：18		词频：19
技术		IDF：108.624		出现次数：18		词频：19
理解		IDF：108.624		出现次数：18		词频：19
参与		IDF：107.596		出现次数：19		词频：19
可惜		IDF：107.596		出现次数：19		词频：19
结束		IDF：107.596		出现次数：19		词频：19
创意		IDF：107.437		出现次数：14		词频：18
获得		IDF：106.198		出现次数：15		词频：18
文化		IDF：105.027		出现次数：16		词频：18
听到		IDF：105.027		出现次数：16		词频：18
师姐		IDF：105.027		出现次数：16		词频：18
宣传		IDF：105.027		出现次数：16		词频：18
地铁		IDF：103.942		出现次数：17		词频：18
兄弟		IDF：103.942		出现次数：17		词频：18
接受		IDF：103.942		出现次数：17		词频：18
直播		IDF：102.906		出现次数：18		词频：18
详情		IDF：102.906		出现次数：18		词频：18
培训		IDF：102.725		出现次数：13		词频：17
是否		IDF：101.468		出现次数：14		词频：17
旅游		IDF：100.298		出现次数：15		词频：17
论文		IDF：100.298		出现次数：15		词频：17
样子		IDF：99.1918		出现次数：16		词频：17
加入		IDF：99.1918		出现次数：16		词频：17
金融		IDF：99.1918		出现次数：16		词频：17
广交会		IDF：99.1918		出现次数：16		词频：17
相信		IDF：99.1918		出现次数：16		词频：17
无敌		IDF：99.1918		出现次数：16		词频：17
怀念		IDF：99.1918		出现次数：16		词频：17
找到		IDF：98.1674		出现次数：17		词频：17
实现		IDF：97.9599		出现次数：12		词频：16
抱抱		IDF：97.9599		出现次数：12		词频：16
女神		IDF：94.5667		出现次数：10		词频：15
校园		IDF：93.357		出现次数：16		词频：16
经历		IDF：93.357		出现次数：16		词频：16
下来		IDF：93.357		出现次数：16		词频：16
先生		IDF：93.357		出现次数：16		词频：16
记忆		IDF：93.159		出现次数：11		词频：15
实习		IDF：93.159		出现次数：11		词频：15
完成		IDF：93.159		出现次数：11		词频：15
公司		IDF：91.8374		出现次数：12		词频：15
面试		IDF：91.8374		出现次数：12		词频：15
内容		IDF：91.8374		出现次数：12		词频：15
社团		IDF：90.9806		出现次数：5		词频：13
咨询		IDF：90.6395		出现次数：13		词频：15
改期		IDF：90.6395		出现次数：13		词频：15
经典		IDF：90.6395		出现次数：13		词频：15
表情		IDF：89.5306		出现次数：14		词频：15
情况		IDF：89.5306		出现次数：14		词频：15
回忆		IDF：89.5306		出现次数：14		词频：15
属于		IDF：89.5306		出现次数：14		词频：15
方式		IDF：89.5306		出现次数：14		词频：15
帮忙		IDF：89.5306		出现次数：14		词频：15
免费		IDF：89.5306		出现次数：14		词频：15
生命		IDF：88.4985		出现次数：15		词频：15
上课		IDF：88.4985		出现次数：15		词频：15
感受		IDF：88.4985		出现次数：15		词频：15
貌似		IDF：88.4985		出现次数：15		词频：15
原因		IDF：88.4985		出现次数：15		词频：15
辛苦		IDF：88.4985		出现次数：15		词频：15
团队		IDF：88.2623		出现次数：10		词频：14
创业		IDF：86.9484		出现次数：11		词频：14
长大		IDF：86.9484		出现次数：11		词频：14
职业		IDF：86.9484		出现次数：11		词频：14
女生		IDF：86.9484		出现次数：11		词频：14
节操		IDF：85.7149		出现次数：12		词频：14
提前		IDF：85.7149		出现次数：12		词频：14
证明		IDF：85.7149		出现次数：12		词频：14
网络		IDF：85.7149		出现次数：12		词频：14
中国梦		IDF：84.8635		出现次数：8		词频：13
体育		IDF：84.5969		出现次数：13		词频：14
愿意		IDF：84.5969		出现次数：13		词频：14
忘记		IDF：84.5969		出现次数：13		词频：14
相关		IDF：84.5969		出现次数：13		词频：14
中心		IDF：84.5969		出现次数：13		词频：14
大学生		IDF：84.5969		出现次数：13		词频：14
过去		IDF：83.5619		出现次数：14		词频：14
消息		IDF：83.5619		出现次数：14		词频：14
改变		IDF：83.5619		出现次数：14		词频：14
变成		IDF：83.5619		出现次数：14		词频：14
教育		IDF：81.9578		出现次数：10		词频：13
坚持		IDF：80.7378		出现次数：11		词频：13
想到		IDF：80.7378		出现次数：11		词频：13
恋爱		IDF：79.9423		出现次数：7		词频：12
尘肺		IDF：79.9423		出现次数：7		词频：12
标准		IDF：79.9423		出现次数：7		词频：12
感冒		IDF：79.5924		出现次数：12		词频：13
衣服		IDF：79.5924		出现次数：12		词频：13
学期		IDF：79.5924		出现次数：12		词频：13
